chain,state,southj,centralj,northj,shore,pa1,pa2,empft,emppt,wage_st,empft2,emppt2,wage_st2
1,0,0,0,0,0,1,0,30,15,,3.5,35,4.3
2,0,0,0,0,0,1,0,6.5,6.5,,0,15,4.45
2,0,0,0,0,0,1,0,3,7,,3,7,5
4,0,0,0,0,0,1,0,20,20,5,0,36,5.25
4,0,0,0,0,0,1,0,6,26,5.5,28,3,4.75
1,0,0,0,0,0,0,1,50,35,5,15,18,4.75
1,0,0,0,0,0,0,1,10,17,5,26,9,5
2,0,0,0,0,0,0,1,2,8,5.25,3,12,5
2,0,0,0,0,0,1,0,2,10,5,2,9,5
3,0,0,0,0,0,0,1,2.5,20,5,1,25,4.75
1,0,0,0,0,0,0,1,40,30,5,9,32,5
1,0,0,0,0,0,0,1,8,27,5,7,39,4.5
1,0,0,0,0,0,0,1,10.5,30,5.5,18,10,4.75
1,0,0,0,0,0,0,1,6,9,5,5,20,4.5
2,0,0,0,0,0,0,1,5,17.5,5.25,15,4,5
2,0,0,0,0,0,0,1,1,15,5,4,13,4.75
3,0,0,0,0,0,0,1,10,6,5,6,20,4.75
3,0,0,0,0,0,0,1,20,13,5,5,15,4.75
3,0,0,0,0,0,0,1,5,23,5,2,19,4.25
3,0,0,0,0,0,0,1,10,12.5,5,2,18,5
3,0,0,0,0,0,1,0,27,12,5,0,30,4.9
3,0,0,0,0,0,0,1,4,28,5,8,20,5
3,0,0,0,0,0,0,1,10,15,5,10,10,4.75
4,0,0,0,0,0,0,1,0,28,5,0,31,5
3,0,0,0,0,0,0,1,3,16,5,5.5,10,4.25
3,0,0,0,0,0,0,1,7,16,5,5,19,4.75
1,0,0,0,0,0,1,0,21,9,4.25,6,25,4.25
1,0,0,0,0,0,1,0,1,32,4.25,5,15,
1,0,0,0,0,0,1,0,10,20,4.25,7,25,4.25
1,0,0,0,0,0,1,0,0,27,4.25,0,42,4.25
1,0,0,0,0,0,1,0,17,4,4.5,0,22,4.25
1,0,0,0,0,0,1,0,0,24,4.25,11,12,4.25
1,0,0,0,0,0,1,0,25,15,4.5,0,45,4.25
1,0,0,0,0,0,1,0,6,20,4.25,7.5,25,4.38
2,0,0,0,0,0,1,0,6,10,4.5,4,20,4.75
2,0,0,0,0,0,1,0,0,15,4.25,6,15,4.25
4,0,0,0,0,0,1,0,30,10,4.67,7,18,4.5
4,0,0,0,0,0,1,0,8,25,4.75,0,28,4.5
4,0,0,0,0,0,1,0,0,15,4.25,0,16,4.25
4,0,0,0,0,0,1,0,10,20,4.25,10,20,4.25
2,0,0,0,0,0,0,1,2,12,4.75,1,14,4.25
1,0,0,0,0,0,1,0,20,25,4.25,0,48,4.25
1,0,0,0,0,0,1,0,20,55,4.5,25,10,5.05
1,0,0,0,0,0,1,0,10,30,4.25,0,42,
1,0,0,0,0,0,1,0,15,50,4.25,19,29,4.25
1,0,0,0,0,0,1,0,1,37.5,4.25,0,32,4.25
2,0,0,0,0,0,1,0,0,9,4.25,2,9,4.25
4,0,0,0,0,0,1,0,0,25,4.25,0,30,
4,0,0,0,0,0,1,0,30,10,4.25,0,30,4.25
4,0,0,0,0,0,1,0,4,19,4.25,5,20,4.35
4,0,0,0,0,0,1,0,12,20,4.25,10,35,4.5
1,0,0,0,0,0,0,1,8,18,4.75,8,27,4.5
1,0,0,0,0,0,0,1,0,25,4.87,15,15,5
1,0,0,0,0,0,0,1,2,21,4.75,27.5,8,4.75
2,0,0,0,0,0,0,1,1,9,4.5,0,18,5
3,0,0,0,0,0,0,1,5,20,4.25,0,20,4.35
4,0,0,0,0,0,0,1,8,17.5,4.75,14,12,
1,0,0,0,0,0,0,1,25,20,4.25,12,23,4.25
1,0,0,0,0,0,0,1,37.5,2,4.25,8,25,4.9
1,0,0,0,0,0,0,1,5,27,4.75,26,15,4.5
1,0,0,0,0,0,0,1,25,8,4.5,10,16,4.5
1,0,0,0,0,0,1,0,6,30,4.25,5,30,4.75
1,0,0,0,0,0,0,1,8,28,4.25,6,20,6.25
1,0,0,0,0,0,1,0,32,25,4.5,8,30,4.35
2,0,0,0,0,0,0,1,1,9,4.5,4,12,4.5
3,0,0,0,0,0,0,1,4,25,4.5,0,0,
3,0,0,0,0,0,0,1,2,16,4.5,4,15,4.5
4,0,0,0,0,0,0,1,20,10,4.75,21,5.5,5
1,0,0,0,0,0,0,1,14,15,4.25,30,15,4.75
1,0,0,0,0,0,0,1,7.5,14,4.75,35,6.5,4.5
3,0,0,0,0,0,0,1,7,25,4.25,2.5,17.5,
3,0,0,0,0,0,0,1,4,16,4.75,3,13,4.75
3,0,0,0,0,0,0,1,5,20,4.5,23,16,4.25
3,0,0,0,0,0,0,1,6,22.5,4.75,2,12,4.91
1,0,0,0,0,0,1,0,2.5,20,4.25,0,12,4.4
1,0,0,0,0,0,1,0,2,30,4.35,3,23,4.25
1,1,0,1,0,0,0,0,0,22,,2,40,5.05
1,1,0,1,0,0,0,0,0,20,,5,25,5.05
3,1,0,1,0,0,0,0,10,20,,8,24,5.05
3,1,0,0,1,0,0,0,4.5,25.5,,2,33,5.05
1,1,0,0,1,0,0,0,0,25,,26.5,10,5.05
2,1,0,0,1,0,0,0,0,13,,1,15,5.05
4,1,0,0,1,0,0,0,30,20,,0,25,5.05
1,1,0,0,1,0,0,0,0,34,,23,22,5.05
4,1,1,0,0,1,0,0,20,10,,28,10,5.25
4,1,1,0,0,0,0,0,0,14,,8,12,
1,1,0,0,1,0,0,0,0,35,,0,35,5.05
3,1,0,0,1,0,0,0,15,15,,6,20,5.05
4,1,0,0,1,0,0,0,0,30,,35,30,5.05
1,1,1,0,0,0,0,0,5,19,,4.5,20,5.05
1,1,1,0,0,0,0,0,9,10,,7,13,5.05
1,1,0,0,1,0,0,0,0,45,,30,20,5.05
3,1,0,1,0,0,0,0,2,2,5,5,2,5.05
2,1,0,1,0,0,0,0,10,8,5.12,4,17,5.05
1,1,0,0,1,0,0,0,30,15,5.56,10,20,5.05
2,1,0,1,0,0,0,0,4,10,5,0,7,5.05
2,1,0,0,1,0,0,0,6,4,5,4,3,5.05
2,1,0,1,0,0,0,0,4,16,5.25,6,15,5.05
3,1,0,0,1,0,0,0,12,20,5,6,11,5.05
4,1,0,1,0,0,0,0,8,12,5.5,10,35,5.05
3,1,0,0,1,0,0,0,6,50,5,4,60,5.05
3,1,0,0,1,0,0,0,13,10,5,10,12,5.05
4,1,0,0,1,0,0,0,25,13,5,0,45,5.05
4,1,0,0,1,0,0,0,8,14.5,5,25,8,5.05
1,1,0,1,0,1,0,0,7,20,5.5,0,35,5.05
1,1,0,1,0,0,0,0,10,6,5,6,25,5.5
2,1,0,1,0,0,0,0,0,25,5,2,20,5.05
4,1,0,0,1,0,0,0,4,26,5,5,25,5.05
2,1,0,1,0,0,0,0,6.5,7.5,5,3,16,5.05
3,1,0,1,0,0,0,0,20,20,5.25,7,18,5.05
3,1,0,1,0,0,0,0,15,25,5.5,8,22,5.05
4,1,0,1,0,0,0,0,10,30,5.05,4,37,5.05
1,1,0,0,1,0,0,0,5,17,5,10,8,5.28
1,1,0,0,1,0,0,0,8.5,6.5,5.12,6,0,5.25
1,1,0,0,1,0,0,0,4.5,30,5.25,7.5,30,5.05
1,1,0,0,1,0,0,0,1,12,5,0,0,
1,1,0,0,1,0,0,0,35,15,5.12,12,13.5,5.05
2,1,0,0,1,0,0,0,10,5,5,12,8,5.5
3,1,0,0,1,0,0,0,8,25,5,26,12,5.05
3,1,0,0,1,0,0,0,12,18,5,1.5,33,5.05
3,1,0,0,1,0,0,0,4,30,5,5,15,5.05
4,1,0,0,1,0,0,0,20,10,5,10,17,5.05
1,1,0,0,1,0,0,0,12,33,5,20,6,5.05
1,1,0,0,1,0,0,0,10,20,5,20,20,5.05
3,1,0,0,1,1,0,0,4,20,5.62,5,17.5,5.05
3,1,0,0,1,0,0,0,5,42,5,7,30,5.05
4,1,0,0,1,0,0,0,8,19,5,0,30,5.05
1,1,0,0,1,0,0,0,23,10,5,5,21,5.05
1,1,0,0,1,0,0,0,0,10,5,10,4,5.05
3,1,0,0,1,0,0,0,15,35,5.1,15,15,5.05
3,1,0,0,1,0,0,0,15,25,5,15,,5.05
3,1,0,0,1,0,0,0,25,10,5.25,12,10,5.05
3,1,0,0,1,0,0,0,15,8,5.5,8,12,5.05
1,1,1,0,0,0,0,0,13,12,5,15,15,5.05
1,1,1,0,0,0,0,0,10,18,5,0,42.5,5.05
2,1,1,0,0,0,0,0,0,13,5,0,15,5.05
2,1,1,0,0,0,0,0,4,11,5.05,2,14,5.25
2,1,1,0,0,0,0,0,0,15,5.5,3,7,5.05
2,1,1,0,0,0,0,0,5,10,5,5,15,5.05
1,1,0,0,1,0,0,0,5,16,5.3,4,9,5.05
2,1,0,0,1,0,0,0,3,8,5,6,12,5.05
2,1,0,0,1,0,0,0,8,12,5,2,7,5.05
2,1,1,0,0,1,0,0,5,9,5,4,6,5.05
2,1,1,0,0,1,0,0,3,14,5,4,11,5.05
3,1,1,0,0,0,0,0,20,46,5.25,22,39,5.05
3,1,1,0,0,1,0,0,18,45,5.15,0,45,5.05
4,1,1,0,0,1,0,0,4,16,5.42,3,20,5.67
1,1,1,0,0,0,0,0,10,10,5,0,20,5.05
3,1,1,0,0,0,0,0,2.5,27,5,0,20,5.05
4,1,1,0,0,0,0,0,14,7,5.06,9,7,5.05
4,1,1,0,0,0,0,0,11.5,10,5.05,0,28,5.05
4,1,0,0,1,0,0,0,4.5,20,5,21,6,5.25
1,1,0,0,1,0,0,0,12,23,5,11,22,5.25
1,1,0,0,1,0,0,0,14,12,5,18,15,5.05
1,1,0,0,1,0,0,0,25,10,5.25,0,25,5.5
1,1,0,0,1,0,0,0,10,8,5,20,15,5.05
1,1,0,0,1,0,0,0,10,20,5,15,15,5.05
3,1,0,0,1,0,0,0,13,31,5.05,11,23,5.05
4,1,0,0,1,0,0,0,12,35,5,17,22,5.5
4,1,0,0,1,0,0,0,5,10,5.75,8,7,5.5
1,1,0,0,1,0,0,0,3,60,5,0,15,5.05
1,1,0,1,0,0,0,0,16,30,4.5,20,40,5.05
1,1,0,1,0,0,0,0,10,6,4.75,7.5,10,5.25
2,1,0,1,0,0,0,0,6,13,4.25,4,7,5.05
3,1,0,1,0,0,0,0,10,12,4.75,5,30,5.05
3,1,0,1,0,0,0,0,5,30,4.5,10,30,5.15
1,1,0,1,0,0,0,0,12,40,4.37,0,32,5.05
1,1,0,1,0,0,0,0,15,20,4.25,15,15,5.05
1,1,0,1,0,0,0,0,10,30,4.25,12,24,5.05
1,1,0,1,0,0,0,0,6.5,23.5,4.37,15,15,5.05
2,1,0,1,0,0,0,0,0,25,4.5,2,11,5
3,1,0,1,0,0,0,0,3,25,4.6,5,20,5.05
3,1,0,1,0,0,0,0,6,22,4.5,7,17,5.05
3,1,0,1,0,0,0,0,0,20,4.37,4,35,5.05
3,1,0,1,0,0,0,0,15,25,4.25,8,38,5.05
1,1,1,0,0,0,0,0,4,31,4.25,6,44,5.05
2,1,1,0,0,0,0,0,5,12,4.45,0,11,5.05
3,1,1,0,0,0,0,0,3,15,4.35,3,15,5.05
1,1,0,0,1,0,0,0,0,25,4.5,14,14,5.05
1,1,0,1,0,0,0,0,15,15,4.75,15,20,5.05
2,1,0,0,1,0,0,0,0,14,4.5,6,2,
2,1,0,0,1,0,0,0,0,7,4.5,0,13,5.05
3,1,0,0,1,0,0,0,10,20.5,4.5,2,25,5.05
3,1,0,0,1,0,0,0,5,15,4.95,11,7,5.05
4,1,0,0,1,0,0,0,25,6.5,4.5,13,18,5.05
1,1,0,1,0,0,0,0,15,20,4.25,10,20,5.05
1,1,0,0,1,0,0,0,26,6,4.25,15,10,5.05
1,1,0,0,1,0,0,0,20,15,4.5,13,13,5.05
1,1,0,0,1,0,0,0,15,18,4.25,26,10,5.05
1,1,0,0,1,0,0,0,5,15,4.5,4,17.5,5.05
1,1,0,0,1,0,0,0,30,10,4.25,13,17,5.05
1,1,0,0,1,0,0,0,0,27,4.25,0,27,5.05
1,1,0,0,1,0,0,0,35,20,4.5,10,30,5.05
1,1,0,0,1,0,0,0,0,35,4.75,29,14,5.05
2,1,0,0,1,0,0,0,0,7,4.25,14,0,5.05
2,1,0,0,1,0,0,0,3,15,4.25,4,11,5.05
3,1,0,0,1,0,0,0,8,32,4.25,25,15,5.05
3,1,0,0,1,0,0,0,6,25,4.5,8,18,5.05
4,1,0,0,1,0,0,0,4.5,20,4.25,11,14,5.05
1,1,0,1,0,0,0,0,4,30,4.5,12,30,5.05
1,1,0,1,0,0,0,0,11,11,4.25,9,12,5.05
1,1,0,1,0,1,0,0,0,15,4.5,0,30,5.05
1,1,1,0,0,0,0,0,3,35,4.25,4,37,5.05
1,1,0,1,0,1,0,0,8,22,4.25,0,30,5.05
1,1,0,1,0,1,0,0,4,18,4.25,14,6,5.05
1,1,0,0,1,0,0,0,2.5,30,4.25,5,25,5.05
2,1,0,1,0,0,0,0,18,3,4.25,0,14,5.05
2,1,0,0,1,0,0,0,0,15,4.25,0,15,5.05
2,1,0,1,0,0,0,0,0,12,4.25,2.5,11,5.05
2,1,0,1,0,1,0,0,0,20,4.25,3,13,5.05
3,1,0,1,0,1,0,0,60,40,4.75,30,50,5.05
3,1,0,1,0,1,0,0,4.5,15,4.75,10,12,5.05
3,1,1,0,0,0,0,0,12,13,4.4,0,27,5.05
4,1,0,1,0,1,0,0,40,20,4.62,11,10,5.05
1,1,0,0,1,0,0,0,0,40,4.25,0,45,5.05
1,1,0,0,1,0,0,0,0,35,4.25,2,25,5.05
1,1,0,0,1,0,0,0,6,11,4.25,13.5,10,5.05
1,1,0,0,1,0,0,0,13.5,15,4.25,11,24,5.05
3,1,0,0,1,0,0,0,17,14,4.25,20,14.5,5.05
1,1,0,1,0,0,0,0,0,35,4.75,20,40,5.25
1,1,0,1,0,0,0,0,20,25,4.75,6,15,5.05
1,1,0,1,0,0,0,0,4,22.5,4.25,22,12,5.05
1,1,0,0,1,0,0,0,10,15,4.25,18,20,5.05
1,1,0,0,1,0,0,0,12,19,4.75,18,13,5.05
1,1,0,1,0,0,0,0,0,32,4.5,0,30,5.05
1,1,0,0,1,0,0,0,1,38,4.25,10,50,5.05
1,1,0,1,0,0,0,0,8,10,4.25,21,6,5.05
2,1,0,1,0,0,0,0,15,0,4.5,0,15,5.05
3,1,0,1,0,0,0,0,7,25.5,4.5,2,38,5.05
3,1,0,1,0,0,0,0,20,20,4.5,15,20,5.5
3,1,0,1,0,0,0,0,6,16,4.75,3,20,5.05
3,1,0,1,0,0,0,0,5.5,25,4.62,6,27.5,5.05
3,1,0,0,1,0,0,0,15,25,4.25,12,30,5.05
4,1,0,1,0,0,0,0,0,40,4.5,5,35,5.67
4,1,0,1,0,0,0,0,10,15,4.75,10,25,5.05
4,1,0,0,1,0,0,0,15,35,4.25,40,31,5.05
1,1,0,0,1,0,0,0,8,20,4.8,0,32,5.05
1,1,0,0,1,0,0,0,0,20,4.5,8,10,5.05
1,1,0,0,1,0,0,0,0,27.5,4.67,12,20,5.75
1,1,0,0,1,0,0,0,8,15,4.87,2,18,5.05
2,1,0,0,1,0,0,0,2,7,4.5,3,4,5.05
2,1,0,0,1,0,0,0,6,12,4.5,10,5,5.25
3,1,0,0,1,0,0,0,0,40,4.75,3,30,5.05
4,1,0,0,1,0,0,0,8,32,4.75,0,35,5.05
1,1,0,0,1,0,0,0,5,20,4.25,0,32,5.25
1,1,0,0,1,1,0,0,2,32,4.25,10,12.5,5.05
1,1,0,0,1,0,0,0,0,24,4.75,7,23,5.05
1,1,0,0,1,0,0,0,6,40,4.85,11,30,5.05
1,1,0,0,1,1,0,0,11,20,4.75,20,20,5.05
1,1,0,0,1,0,0,0,15,21,4.62,20,27.5,5.05
2,1,0,0,1,1,0,0,13,12,4.25,1,10,5.05
2,1,0,0,1,0,0,0,2,12,4.25,2,10,5.05
2,1,0,0,1,1,0,0,8,3,4.5,0,17.5,5.05
2,1,1,0,0,1,0,0,3,15,4.5,0,15,5.05
2,1,0,0,1,0,0,0,12,4,4.62,15,10,5.05
2,1,0,1,0,1,0,0,2,9,4.5,2,6,5.05
3,1,0,0,1,0,0,0,10,20,4.75,12,18,5.05
3,1,0,0,1,0,0,0,4,15,4.75,0,19,5.05
4,1,0,0,1,0,0,0,20,10,4.87,4.5,30,5.25
4,1,0,0,1,1,0,0,1,13,4.5,4,9,5.05
4,1,0,0,1,1,0,0,0,30,4.25,8,25,5.05
2,1,0,0,1,0,0,0,0,12,4.35,11,3,5.05
1,1,0,0,1,0,0,0,0,60,4.25,5,40,5.05
1,1,0,0,1,0,0,0,0,33,4.5,16,22,5.05
1,1,0,0,1,0,0,0,30,14,4.25,13,11,5.05
1,1,0,0,1,0,0,0,9,12,4.25,4,34,5.05
1,1,0,0,1,0,0,0,10,8.5,4.25,12,13.5,5.05
2,1,0,0,1,0,0,0,8,10,4.75,8.5,6,5.2
3,1,0,0,1,0,0,0,12,32,4.62,5,32,5.05
3,1,0,0,1,0,0,0,4,36,4.25,6,37,5.05
4,1,0,0,1,0,0,0,0,19,4.5,0,14,5.05
1,1,1,0,0,0,0,0,3,28,4.5,2,35,5.05
1,1,1,0,0,0,0,0,11,17.5,4.5,20,15,5.05
1,1,1,0,0,0,0,0,4.5,20,4.55,12,17.5,5.05
1,1,1,0,0,0,0,0,2,30,4.62,0,35,5.05
1,1,1,0,0,0,0,0,10,10,4.5,20,10,5.05
2,1,1,0,0,0,0,0,2,11,4.25,2,18,5.05
2,1,1,0,0,0,0,0,2,13,4.25,0,12,5.05
2,1,1,0,0,0,0,0,7,4,4.35,5,3,5.05
2,1,1,0,0,0,0,0,3,9,4.25,9,9,5.05
2,1,1,0,0,0,0,0,3,15,4.25,3,12,5.05
2,1,1,0,0,0,0,0,1,28,4.6,1,15,5.05
3,1,1,0,0,0,0,0,2,24,4.25,2,15,5.05
3,1,1,0,0,0,0,0,3,18,4.75,3,20,5.05
3,1,1,0,0,0,0,0,3,27,4.75,12,25,5.05
4,1,1,0,0,0,0,0,0,22,4.25,0,26,5.3
4,1,1,0,0,0,0,0,3,28.5,4.5,11,19,5.05
1,1,0,0,1,0,0,0,3,40,4.5,22,11,5.5
1,1,0,0,1,0,0,0,0,25,4.25,15,17,5.05
1,1,0,0,1,0,0,0,18,6,4.75,18,10,5.05
1,1,0,0,1,0,0,0,19,7,4.65,15,7,5.05
1,1,0,0,1,0,0,0,12,11,4.25,9,17,5.05
2,1,0,0,1,0,0,0,0,22,4.75,25,15,5.05
2,1,0,0,1,0,0,0,15,4,4.25,0,19,5.05
3,1,0,0,1,0,0,0,7,25,4.5,7,22,5.05
3,1,0,0,1,0,0,0,12,30,4.25,16,12,5.05
4,1,0,0,1,0,0,0,0,40,4.5,0,40,5.05
4,1,0,0,1,0,0,0,8,16,4.75,10,14,5.05
1,1,1,0,0,1,0,0,6,6,4.37,10,12,5.05
2,1,1,0,0,1,0,0,1,4,4.5,2,4,5.05
3,1,1,0,0,0,0,0,7,7,4.87,4,8,5.05
1,1,1,0,0,0,0,0,4,22,4.25,20,18,5.05
1,1,1,0,0,0,0,0,10,20,4.25,4,26,5.05
1,1,1,0,0,0,0,0,7,13,4.25,0,22.5,5.05
1,1,1,0,0,0,0,0,0,10,4.25,0,23,5.05
1,1,1,0,0,0,0,0,0,20,4.25,0,0,
1,1,1,0,0,0,0,0,6.5,20,4.25,30,25,5.05
2,1,1,0,0,0,0,0,2,10,4.45,10,3,5.05
2,1,1,0,0,0,0,0,2,14,4.62,2,11,5.05
2,1,1,0,0,0,0,0,4,4,4.25,1,8,5.05
2,1,1,0,0,0,0,0,2,15,4.25,1,14,5.05
2,1,1,0,0,0,0,0,3,4,4.25,0,9,5.05
3,1,1,0,0,0,0,0,2,14,4.25,0,0,
3,1,1,0,0,0,0,0,5,23,4.5,6,12,5.05
3,1,1,0,0,0,0,0,3,25,4.75,3,15,5.05
3,1,1,0,0,0,0,0,1,15,4.75,2,15,5.05
3,1,1,0,0,0,0,0,3,18,4.5,2,15,5.05
3,1,1,0,0,0,0,0,0,20,4.75,5,9,5.05
3,1,1,0,0,0,0,0,2,12,4.25,3,10,5.05
4,1,1,0,0,0,0,0,8,12,4.75,0,23,5.05
4,1,1,0,0,0,0,0,4,20,4.55,5,16,5.1
4,1,1,0,0,1,0,0,10,15,4.8,15,11,5.05
1,1,0,0,1,0,0,0,9,15,4.25,15,30,5.05
3,1,0,0,1,0,0,0,10,35,4.35,12,35,5.05
3,1,0,0,1,0,0,0,10,20,4.5,10,15,5.05
3,1,0,0,1,0,0,0,0,20,4.39,5,22,5.05
3,1,0,0,1,0,0,0,17.5,17.5,4.25,25,25,5.2
4,1,0,0,1,0,0,0,0,28,4.25,3,23,5.05
1,1,1,0,0,1,0,0,4,6,4.25,3,2,5.05
1,1,1,0,0,1,0,0,11,9,4.5,0,30,5.05
1,1,1,0,0,1,0,0,8,12,4.62,15,6,5.25
1,1,1,0,0,1,0,0,15,15,4.62,12,14,5.05
1,1,1,0,0,1,0,0,0,8,4.25,4,0,5.05
2,1,1,0,0,1,0,0,5,7,4.75,7,6,5.05
2,1,1,0,0,1,0,0,0,11,4.62,22,4,5.05
3,1,1,0,0,1,0,0,8,13,4.75,12,5,5.05
3,1,1,0,0,1,0,0,4,15,4.5,1,15,5.05
1,1,0,1,0,0,0,0,2,16.5,4.25,3,20,5.05
1,1,1,0,0,0,0,0,28,12,4.5,10,20,5.05
1,1,1,0,0,0,0,0,5,29.5,4.87,25,5,5.05
1,1,1,0,0,0,0,0,18,6,4.25,5,9,5.05
1,1,1,0,0,0,0,0,6,30,4.25,15,17,5.05
2,1,1,0,0,0,0,0,2,7,4.62,3,7,5.05
2,1,1,0,0,0,0,0,10,6,4.75,4,11,5.05
2,1,1,0,0,0,0,0,2,10.5,4.25,3,12,
3,1,0,1,0,0,0,0,3,10.5,4.25,0,0,
3,1,1,0,0,0,0,0,8,9,4.75,5,20,5.05
3,1,1,0,0,0,0,0,2,27.5,4.25,10,20,5.05
4,1,0,1,0,0,0,0,2,17,4.87,3,17,
1,1,1,0,0,0,0,0,0,22,4.25,0,26,5.05
1,1,1,0,0,0,0,0,3,25,4.25,5,32,5.05
1,1,1,0,0,0,0,0,6,13,4.25,4,23,5.05
2,1,1,0,0,0,0,0,6,13,4.25,24,4,5.05
2,1,1,0,0,0,0,0,0,25,4.25,14,7,5.2
2,1,1,0,0,0,0,0,3.5,20,4.25,1,30,5.05
3,1,1,0,0,0,0,0,2,17,4.5,1,19,5.05
4,1,1,0,0,0,0,0,0,20,4.25,0,25,5.05
1,1,0,0,1,0,0,0,0,15,4.35,0,0,
1,1,0,0,1,0,0,0,20,11.5,4.85,26,5,5.05
1,1,0,0,1,0,0,0,4,10,4.5,0,17,5.05
1,1,0,0,1,0,0,0,12,6,4.25,11,12,5.05
1,1,0,0,1,0,0,0,20,12,4.62,28,6,5.05
1,1,0,0,1,0,0,0,10,15,4.5,15,14,5.05
1,1,0,0,1,0,0,0,6,4,4.5,7,2,5.05
1,1,0,0,1,0,0,0,16,14,4.25,15,14,5.05
1,1,0,0,1,0,0,0,0,19,4.25,14,10,5.05
2,1,0,0,1,0,0,0,15,5,4.25,12,7,5.05
2,1,0,0,1,0,0,0,4,10,4.62,18,4,5.25
3,1,0,0,1,0,0,0,24,16,4.87,8,30,5.4
3,1,0,0,1,0,0,0,4,28,4.25,6,15,5.05
3,1,0,0,1,0,0,0,14,13,4.75,25,15,5.05
3,1,0,0,1,0,0,0,13,8,4.87,18,18,5.05
3,1,0,0,1,0,0,0,16,15,4.5,8,24,5.05
3,1,0,0,1,0,0,0,8,6,4.25,5,27,5.05
3,1,0,0,1,0,0,0,11,10,4.75,17,5,5.05
3,1,0,0,1,0,0,0,6,17,4.32,1.5,15,5.05
1,1,0,0,1,0,0,0,0,35,4.25,0,35,5.05
1,1,0,0,1,0,0,0,0,36,4.5,4,36,5.05
2,1,0,1,0,0,0,0,0,17,4.5,0,13,5.05
1,1,0,0,1,0,0,0,0,36,4.25,0,20,5.05
1,1,0,0,1,0,0,0,0,36,4.25,13,9,5.05
1,1,0,0,1,0,0,0,8,32,4.25,0,38,5.05
1,1,0,0,1,0,0,0,4,28,4.25,13,17,5.05
1,1,0,0,1,0,0,0,30,15,4.25,0,35,5.05
2,1,0,0,1,0,0,0,3,10,4.25,5,5,5.05
2,1,0,0,1,0,0,0,20,10,4.62,25,7,5.05
2,1,0,0,1,0,0,0,0,7,4.75,5,10,5.05
2,1,0,0,1,0,0,0,2,10,4.95,19,3.5,5.25
2,1,0,0,1,0,0,0,3.5,6.5,4.75,12,3,5.25
3,1,0,0,1,0,0,0,3,33,4.25,5,25,5.05
4,1,0,0,1,0,0,0,7,8,4.75,0,35,5.05
4,1,0,0,1,0,0,0,0,33,4.62,10,24,5.14
